#,NAME,,PSRJ,,RAJD,,DECJD,,P0,,,DIST,
36,J0026-1955,mss+20,J0026-1955,mss+20,6.65000,0,-19.93306,0,1.306150,5.0e-06,mbs+22,25.000,
37,J0026+6320,jml+09,J0026+6320,jml+09,6.71067,3.3e-05,63.333575,1.4e-05,0.31835777079,3.0e-11,sjm+19,6.619,
38,J0030+0451,lzb+00,J0030+0451,lzb+00,7.61428128,1.6e-07,4.8610310,3.7e-07,0.00486545321446896,1.0e-16,cpb+23,0.329,
39,J0033+57,hrk+08,J0033+57,hrk+08,8.25000,0,57.00000,0,0.315,0,hrk+08,2.251,
40,J0033+61,hrk+08,J0033+61,hrk+08,8.25000,0,61.00000,0,0.912,0,hrk+08,1.654,
41,J0034-0534,bhl+94,J0034-0534,bhl+94,8.5909759,3.3e-07,-5.5768672,8.3e-07,0.0018771818845850,2.0e-16,aaa+10b,1.348,
42,B0031-07,lvw69a,J0034-0721,lvw69a,8.5369596,4.2e-07,-7.3648358,5.6e-07,0.9429509945598,1.7e-12,hlk+04,1.030,
43,J0034+69,slr+14,J0034+69,slr+14,8.5,7.5e-01,69.7,3.0e-01,0.03680412,1.6e-07,slr+14,2.283,
44,J0036-1033,sbs+21,J0036-1033,sbs+21,9.06254,1.7e-04,-10.5539,2.5e-04,0.900009289,3.0e-09,sbs+21,25.000,
45,J0038-2501,acd+19,J0038-2501,acd+19,9.54277,4.2e-05,-25.025203,5.6e-06,0.2569264575329,1.7e-12,acd+19,0.604,
46,J0039+35,scb+19,J0039+35,scb+19,9.78,5.0e-02,35.75,5.0e-02,0.5367,0,scb+19,25.000,
47,B0037+56,dtws85,J0040+5716,dtws85,10.1349579,4.2e-07,57.2735647,2.8e-07,1.1182253452412,1.3e-12,hlk+04,2.420,
48,J0043-73,tsm+19,J0043-73,tsm+19,10.9,4.0e-01,-73.18,1.2e-01,0.93742937,2.6e-07,tsm+19,58.938,
49,J0045-7042,mfl+06,J0045-7042,mfl+06,11.3570,7.1e-04,-70.7020,3.6e-04,0.63233580002,6.0e-11,mfl+06,59.700,
50,J0045-7319,mmh+91,J0045-7319,mmh+91,11.3965,2.9e-04,-73.31750,5.6e-05,0.92627590497,3.0e-11,kbm+96,59.700,
51,B0045+33,dtws85,J0048+3412,dtws85,12.14160,8.9e-05,34.20223,1.0e-04,1.217094296058,8.0e-12,hlk+04,4.500,
52,J0050+03,dsm+16,J0050+03,dsm+16,12.63,1.2e-01,3.80,1.3e-01,1.36656,0,dsm+16,25.000,
53,J0051+0423,snt97,J0051+0423,snt97,12.8754,8.3e-04,4.3803,1.7e-03,0.35473179890,1.0e-11,snt97,1.250,
54,J0052-72,tsm+19,J0052-72,tsm+19,13.1,4.0e-01,-72.08,1.2e-01,0.191444328,4.6e-08,tsm+19,60.261,
55,J0054+66,hrk+08,J0054+66,hrk+08,13.50000,0,66.00000,0,1.39,0,hrk+08,0.901,
56,J0054+69,kkl+15,J0054+69,kkl+15,13.62,1.0e-01,69.43,3.3e-02,*,0,*,2.347,
57,J0054+6946,slr+14,J0054+6946,slr+14,13.74632,2.8e-05,69.771347,9.7e-06,0.832911328744,5.0e-12,lsk+18,2.758,
58,B0052+51,dtws85,J0055+5117,dtws85,13.9391588,4.2e-07,51.2901669,2.8e-07,2.115171148865,4.0e-12,hlk+04,2.790,
59,B0053+47,dtws85,J0056+4756,dtws85,14.10630,8.0e-05,47.93626,6.5e-05,0.472036662076,7.0e-12,hlk+04,1.123,
60,J0057-7201,ckm+01,J0057-7201,ckm+01,14.4333,1.7e-03,-72.0219,5.6e-04,0.7380624426,2.0e-10,ckm+01,3.476,
61,J0058+4950,slr+14,J0058+4950,slr+14,14.54162,1.1e-04,49.84056,6.5e-05,0.99602345227,4.0e-11,lsk+18,2.646,
62,J0058+6125,hrk+08,J0058+6125,hrk+08,14.50000,0,61.41667,0,0.637,0,hrk+08,2.597,
63,J0058-7218,met+21,J0058-7218,met+21,14.5696,8.3e-04,-72.3017,2.8e-04,0.02176610763,1.9e-10,met+21,59.700,
64,J0059+69,scb+19,J0059+69,scb+19,14.88,1.5e-01,69.92,5.0e-02,1.1459,0,scb+19,2.048,
65,J0100-7211,lfmp02,J0100-7211,lfmp02,15.1793,4.6e-04,-72.19267,1.4e-04,8.020392,9.0e-06,mgr+05,59.700,
66,J0100+8023,scb+19,J0100+8023,scb+19,15.06704,4.2e-05,80.394931,8.3e-06,1.4936009186,2.0e-10,tbc+20,2.848,
67,J0101-6422,kcj+12,J0101-6422,kcj+12,15.2963179,8.3e-07,-64.3750475,5.6e-07,0.0025731519721683,2.0e-16,kcj+12,1.001,
68,J0102+4839,hrm+11,J0102+4839,hrm+11,15.7111217,8.7e-07,48.6618788,8.1e-07,0.0029641124215882,8.0e-16,saa+23,2.310,
69,B0059+65,dbtb82,J0102+6537,dbtb82,15.6374642,4.2e-07,65.6203933,2.8e-07,1.679164229064,1.2e-11,hlk+04,2.470,
70,J0103+54,kkl+15,J0103+54,kkl+15,15.90,8.3e-02,54.03,8.3e-02,0.354304,6.0e-06,kkl+15,2.010,
71,J0104+64,mss+20,J0104+64,mss+20,16.0,0.0e+00,64.00000,0,1.386,0.0e+00,mss+20,1.711,
72,J0106+4855,pga+12,J0106+4855,pga+12,16.60442,4.2e-05,48.93106,5.6e-05,0.0831573050050,6.0e-13,pga+12,3.063,
73,J0107+1322,scb+19,J0107+1322,scb+19,16.91646,8.3e-05,13.3755,2.2e-04,1.1973833938,1.0e-10,tbc+20,2.349,
74,J0108-1431,tnj+94,J0108-1431,tnj+94,17.0347792,3.7e-07,-14.5306075,3.1e-07,0.807564614019,2.0e-11,hlk+04,0.210,
75,B0105+65,dls72,J0108+6608,dls72,17.0937704,1.3e-06,66.1429164,2.8e-07,1.2836598429,5.0e-10,hlk+04,2.140,
76,B0105+68,dtws85,J0108+6905,dtws85,17.12293,8.2e-05,69.09795,3.0e-05,1.071118109859,5.0e-12,hlk+04,1.981,
77,J0109+11,tkt22,J0109+11,tkt22,17.2,1.0e+00,11.5,2.5e-01,0.4327,0,tkt22,1.566,
78,J0110-22,mss+20,J0110-22,mss+20,17.5,0.0e+00,-22.0,-nan,1.262,0.0e+00,mss+20,25.000,
79,J0111+6624,slr+14,J0111+6624,slr+14,17.8412,5.0e-04,66.40300,1.7e-04,4.3018721008,4.0e-10,lsk+18,2.412,
80,J0111-7131,mfl+06,J0111-7131,mfl+06,17.8699,3.8e-04,-71.52967,1.7e-04,0.68854151164,5.0e-11,mfl+06,59.700,
81,J0113-7220,ckm+01,J0113-7220,ckm+01,18.29621,1.2e-04,-72.34228,4.2e-05,0.32588301613,1.0e-11,ckm+01,59.700,
82,J0115+6325,scb+19,J0115+6325,scb+19,18.94112,4.2e-05,63.43078,2.8e-05,0.521455427473,5.0e-12,mbc+20,1.931,
83,B0114+58,stwd85,J0117+5914,stwd85,19.411088,1.1e-05,59.243997,6.4e-06,0.1014390664824,2.0e-12,hlk+04,1.768,
84,J0121+53,gac+21,J0121+53,gac+21,20,2.8e+00,53.5,2.7e-01,2.7247846,4.0e-07,gac+21,2.644,
85,J0122+1416,ttk+17,J0122+1416,ttk+17,20.50546,1.2e-04,14.2714,2.8e-04,1.38899395038,2.0e-11,mbc+20,1.584,
86,J0125-2327,mbc+19,J0125-2327,mbc+19,21.25447637,2.1e-08,-23.45225969,2.8e-08,0.003675374887568884,1.4e-17,cpb+23,0.714,
87,J0125+62,slr+14,J0125+62,slr+14,21.5,7.5e-01,62.6,3.0e-01,1.708233,9.8e-05,slr+14,2.403,
88,J0131-7310,mfl+06,J0131-7310,mfl+06,22.86879,1.2e-04,-73.16926,3.6e-05,0.348124045581,7.0e-12,mfl+06,59.700,
89,J0133-6957,lml+98,J0133-6957,lml+98,23.38525,4.2e-05,-69.958244,8.3e-06,0.463473741703,3.0e-12,dsb+98,2.441,
90,J0134-2937,mld+96,J0134-2937,mld+96,23.5778433,1.3e-06,-29.6214006,1.9e-06,0.136961610513651,1.4e-14,lwy+16,25.000,
91,J0137+1654,lxf+05,J0137+1654,lxf+05,24.34950,4.2e-05,16.91169,1.1e-04,0.4147630265082,5.0e-13,lxf+05,3.061,
92,J0137+6349,slr+14,J0137+6349,slr+14,24.30569,7.3e-05,63.82621,3.1e-05,0.717962726847,6.0e-12,lsk+18,9.097,
93,J0139+3336,ttm+18,J0139+3336,ttm+18,24.98846,1.7e-04,33.6166,2.5e-04,1.2479609557,1.0e-10,mbc+20,1.472,
